,Unnamed: 0_x,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board
13,14,alphabet,"$136,819.0",23.4%,"$30,736.0",142.7%,"$232,792.0","$816,824.2",7,"98,771",7,Larry Page,Chief Executive Officer &amp; Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",,14,"98,771","$136,819.0",23.4%,"$30,736.0",142.7%,"$232,792.0",-,"$177,628.0",-,22.5%,13.2%,17.3%,43.7,142.8%,18.4%,20.7%,-0.8%,13.3%,21.1%,16,498547,Information Technology,11,61.0,0.73,11.0,425216,0.27
14,15,cardinalhealth,"$136,809.0",5.3%,$256.0,-80.1%,"$39,951.0","$14,349.5",-2,"50,200",-2,Michael C. Kaufmann,Chairman &amp; Chief Executive Officer,Health Care,,"Dublin, Ohio",,25,"50,200","$136,809.0",5.3%,$256.0,-80.1%,"$39,951.0",-,"$6,059.0",-,0.2%,0.6%,4.2%,0.81,-79.9%,-3.5%,-13.8%,-24.8%,-5.6%,8.4%,267,27030,Health Care,12,62.0,0.92,6.0,250029,0.33
15,16,walgreensbootsalliance,"$131,537.0",11.3%,"$5,024.0",23.2%,"$68,124.0","$59,691.7",2,"299,000",2,Stefano Pessina,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Deerfield, Ill.",,25,"299,000","$131,537.0",11.3%,"$5,024.0",23.2%,"$68,124.0",-,"$26,007.0",-,3.8%,7.4%,19.3%,5.05,33.6%,14.6%,8.8%,-3.7%,5.5%,13.0%,143,92199,Consumer Staples,12,59.5,0.75,4.0,285449,0.25
16,17,jpmorganchase,"$131,412.0",15.4%,"$32,474.0",32.9%,"$2,622,532.0","$331,451.5",2,"256,105",2,James Dimon,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25,"256,105","$131,412.0",15.4%,"$32,474.0",32.9%,"$2,622,532.0",-,"$256,515.0",-,24.7%,1.2%,12.7%,9,42.6%,15.7%,20.7%,-6.7%,13.6%,14.5%,41,237600,Financials,11,62.0,0.82,10.0,352500,0.18
17,18,verizoncommunications,"$130,863.0",3.8%,"$15,528.0",-48.4%,"$264,829.0","$244,327.9",-3,"144,500",-3,Hans E. Vestberg,Chairman &amp; Chief Executive Officer,Telecommunications,Telecommunications,"New York, N.Y.",,25,"144,500","$130,863.0",3.8%,"$15,528.0",-48.4%,"$264,829.0",-,"$53,145.0",-,11.9%,5.9%,29.2%,3.76,-48.9%,-1.2%,5.2%,11.1%,7.5%,11.3%,208,190748,Telecommunications Services,12,59.0,0.92,4.0,264000,0.33
18,19,kroger,"$121,162.0",-1.2%,"$3,110.0",63.1%,"$38,118.0","$19,630.8",-3,"453,000",-3,W. Rodney McMullen,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Cincinnati, Ohio",,25,"453,000","$121,162.0",-1.2%,"$3,110.0",63.1%,"$38,118.0",-,"$7,886.0",-,2.6%,8.2%,39.4%,3.76,79.9%,21.0%,14.7%,2.1%,8.4%,9.4%,222,36795,Consumer Staples,11,64.0,0.82,12.0,261413,0.27
19,20,generalelectric,"$120,268.0",-1.6%,"$-22,355.0",-,"$309,129.0","$87,009.3",-3,"283,000",-3,H. Lawrence Culp Jr.,Chairman &amp; Chief Executive Officer,Industrials,Industrial Machinery,"Boston, Mass.",,65,"283,000","$120,268.0",-1.6%,"$-22,355.0",-,"$309,129.0",-,"$30,981.0",-,-18.6%,-7.2%,-72.2%,-2.62,-,-,-,-55.1%,-20.4%,-4.0%,80,292359,Industrials,16,63.5,0.94,8.0,318956,0.25
20,22,phillips66,"$114,217.0",24.7%,"$5,595.0",9.6%,"$54,302.0","$43,240.7",5,"14,200",5,Greg C. Garland,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Houston, Texas",,7,"14,200","$114,217.0",24.7%,"$5,595.0",9.6%,"$54,302.0",-,"$24,653.0",-,4.9%,10.3%,22.7%,11.8,19.8%,14.4%,-,-12.3%,5.2%,-,70,47502,Energy,8,66.0,0.75,3.0,322770,0.25
21,23,valeroenergy,"$111,407.0",26.0%,"$3,122.0",-23.2%,"$50,155.0","$35,426.1",7,"10,261",7,Joseph W. Gorder,"Chairman, President &amp; Chief Executive Officer",Energy,Petroleum Refining,"San Antonio, Texas",,21,"10,261","$111,407.0",26.0%,"$3,122.0",-23.2%,"$50,155.0",-,"$21,667.0",-,2.8%,6.2%,14.4%,7.29,-20.4%,8.0%,-,-15.7%,11.8%,17.2%,170,31740,Energy,10,66.5,0.9,5.5,275001,0.2
22,24,bankofamerica,"$110,584.0",10.3%,"$28,147.0",54.4%,"$2,354,507.0","$265,938.5",-1,"204,489",-1,Brian T. Moynihan,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"Charlotte, N.C.",,25,"204,489","$110,584.0",10.3%,"$28,147.0",54.4%,"$2,354,507.0",-,"$265,325.0",-,25.5%,1.2%,10.6%,2.61,67.3%,23.7%,16.8%,-14.9%,11.1%,6.7%,232,174721,Financials,13,65.0,0.85,3.0,260000,0.31
23,25,microsoft,"$110,360.0",22.7%,"$16,571.0",-21.8%,"$258,848.0","$904,860.9",4,"131,000",4,Satya Nadella,Chief Executive Officer &amp; Director,Technology,Computer Software,"Redmond, Wash.",,25,"131,000","$110,360.0",22.7%,"$16,571.0",-21.8%,"$258,848.0",-,"$82,718.0",-,15.0%,6.4%,20.0%,2.13,-21.4%,-3.8%,1.3%,20.7%,25.1%,20.9%,447,420483,Information Technology,10,59.5,0.8,2.0,190758,0.2
24,26,homedepot,"$108,203.0",7.2%,"$11,121.0",28.9%,"$44,003.0","$211,828.0",-4,"413,000",-4,Craig A. Menear,"Chairman, President &amp; Chief Executive Officer",Retailing,,"Atlanta, Ga.",,25,"413,000","$108,203.0",7.2%,"$11,121.0",28.9%,"$44,003.0",-,"$-1,878.0",-,10.3%,25.3%,-,9.73,33.5%,20.9%,21.9%,-7.3%,18.3%,25.2%,137,158766,Consumer Discretionary,11,56.0,0.82,4.0,290000,0.18
25,27,boeing,"$101,127.0",8.3%,"$10,460.0",27.6%,"$117,359.0","$215,304.7",-1,"153,000",-1,Dennis A. Muilenburg,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Chicago, Ill.",,65,"153,000","$101,127.0",8.3%,"$10,460.0",27.6%,"$117,359.0",-,$339.0,-,10.3%,8.9%,3085.5%,17.85,32.9%,24.5%,17.1%,11.6%,21.8%,25.6%,108,99204,Industrials,12,63.0,0.83,5.5,301000,0.17
26,28,wellsfargo,"$101,060.0",3.4%,"$22,393.0",0.9%,"$1,895,883.0","$219,467.1",-3,"258,700",-3,Charles W. Scharf,Chief Executive Officer &amp; Director,Financials,Commercial Banks,"San Francisco, Calif.",,25,"258,700","$101,060.0",3.4%,"$22,393.0",0.9%,"$1,895,883.0",-,"$196,166.0",-,22.2%,1.2%,11.4%,4.28,4.4%,1.9%,19.8%,-21.8%,3.2%,7.3%,98,276574,Financials,16,65.5,0.81,9.0,306535,0.44
27,29,citi,"$97,120.0",10.4%,"$18,045.0",-,"$1,917,383.0","$145,625.4",2,"204,000",2,Michael L. Corbat,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25,"204,000","$97,120.0",10.4%,"$18,045.0",-,"$1,917,383.0",-,"$196,220.0",-,18.6%,0.9%,9.2%,6.68,-,9.0%,-,-28.5%,1.0%,-1.9%,149,158393,Financials,14,64.5,0.86,3.0,282500,0.21
28,30,marathonpetroleum,"$97,102.0",43.6%,"$2,780.0",-19.0%,"$92,940.0","$40,258.2",10,"60,350",10,Gary R. Heminger,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",,8,"60,350","$97,102.0",43.6%,"$2,780.0",-19.0%,"$92,940.0",-,"$35,175.0",-,2.9%,3.0%,7.9%,5.28,-21.2%,9.7%,-,-8.2%,7.9%,-,93,27661,Energy,10,64.5,0.9,4.0,310000,0.1
29,31,comcast,"$94,507.0",11.8%,"$11,731.0",-48.4%,"$251,684.0","$180,948.0",1,"184,000",1,Brian L. Roberts,"Chairman, President &amp; Chief Executive Officer",Telecommunications,Telecommunications,"Philadelphia, Pa.",,24,"184,000","$94,507.0",11.8%,"$11,731.0",-48.4%,"$251,684.0",-,"$71,613.0",-,12.4%,4.7%,16.4%,2.53,-46.7%,14.6%,19.4%,-13.2%,7.4%,17.0%,10,153530,Consumer Discretionary,12,67.5,0.75,12.0,472774,0.08
30,32,anthem,"$92,105.0",2.3%,"$3,750.0",-2.4%,"$71,571.0","$73,826.6",-4,"63,900",-4,Gail K. Boudreaux,"President, Chief Executive Officer &amp; Director",Health Care,,"Indianapolis, Ind.",,25,"63,900","$92,105.0",2.3%,"$3,750.0",-2.4%,"$71,571.0",-,"$28,541.0",-,4.1%,5.2%,13.1%,14.19,-1.1%,11.6%,11.5%,18.2%,25.2%,21.6%,107,36327,Health Care,9,63.0,0.89,4.0,301004,0.22
31,36,johnson&johnson,"$81,581.0",6.7%,"$15,297.0",1076.7%,"$152,954.0","$372,228.9",-,"135,100",-,Alex Gorsky,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",,65,"135,100","$81,581.0",6.7%,"$15,297.0",1076.7%,"$152,954.0",-,"$59,752.0",-,18.8%,10.0%,25.6%,5.61,1093.6%,3.1%,2.1%,-5.2%,10.0%,11.3%,147,279580,Health Care,12,64.5,0.92,4.5,284923,0.33
32,38,target,"$75,356.0",4.8%,"$2,937.0",0.1%,"$41,290.0","$41,440.9",-,"360,000",-,Brian C. Cornell,Chairman &amp; Chief Executive Officer,Retailing,General Merchandisers,"Minneapolis, Minn.",,25,"360,000","$75,356.0",4.8%,"$2,937.0",0.1%,"$41,290.0",-,"$11,297.0",-,3.9%,7.1%,26.0%,5.51,3.4%,12.4%,6.8%,4.7%,4.3%,9.6%,228,48502,Consumer Discretionary,12,57.5,0.92,3.5,260021,0.25
33,40,unitedparcelservice,"$71,861.0",9.1%,"$4,791.0",-2.4%,"$50,016.0","$96,116.3",3,"364,575",3,David P. Abney,Chairman &amp; Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery","Atlanta, Ga.",,25,"364,575","$71,861.0",9.1%,"$4,791.0",-2.4%,"$50,016.0",-,"$3,021.0",-,6.7%,9.6%,158.6%,5.51,-1.8%,3.6%,6.5%,-15.5%,1.4%,9.1%,233,92325,Industrials,12,61.0,0.83,5.5,259968,0.25
34,42,intel,"$70,848.0",12.9%,"$21,053.0",119.3%,"$127,963.0","$241,488.9",3,"107,400",3,Robert H. Swan,Chief Executive Officer &amp; Director,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",,41,"107,400","$70,848.0",12.9%,"$21,053.0",119.3%,"$127,963.0",-,"$74,563.0",-,29.7%,16.5%,28.2%,4.48,125.1%,18.8%,17.2%,4.1%,15.8%,16.0%,89,159785,Information Technology,11,60.0,0.82,9.0,312300,0.18
35,43,metlife,"$67,941.0",2.7%,"$5,123.0",27.8%,"$687,538.0","$40,751.0",-1,"48,000",-1,Michel A. Khalaf,Chief Executive Officer &amp; Director,Financials,,"New York, N.Y.",,25,"48,000","$67,941.0",2.7%,"$5,123.0",27.8%,"$687,538.0",-,"$52,741.0",-,7.5%,0.7%,9.7%,4.91,35.6%,11.0%,1.7%,-15.7%,-0.1%,5.5%,197,56003,Financials,12,61.5,0.92,6.0,266629,0.33
36,44,procter&gamble,"$66,832.0",0.9%,"$9,750.0",-36.4%,"$118,310.0","$260,289.4",-3,"92,000",-3,David S. Taylor,"Chairman, President &amp; Chief Executive Officer",Household Products,Household and Personal Products,"Cincinnati, Ohio",,65,"92,000","$66,832.0",0.9%,"$9,750.0",-36.4%,"$118,310.0",-,"$52,293.0",-,14.6%,8.2%,18.6%,3.67,-34.3%,-1.0%,0.1%,3.5%,5.8%,7.4%,145,207797,Consumer Staples,12,63.0,0.83,5.5,285000,0.33
37,45,unitedtechnologies,"$66,501.0",11.1%,"$5,269.0",15.8%,"$134,211.0","$111,146.0",5,"240,200",5,Gregory J. Hayes,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Farmington, Conn.",,65,"240,200","$66,501.0",11.1%,"$5,269.0",15.8%,"$134,211.0",-,"$38,446.0",-,7.9%,3.9%,13.7%,6.5,14.0%,0.8%,2.9%,-14.7%,1.0%,9.7%,123,87291,Industrials,11,67.0,0.91,10.0,295000,0.18
38,46,fedex,"$65,450.0",8.5%,"$4,572.0",52.6%,"$52,330.0","$47,270.8",3,"359,000",3,Frederick W. Smith,Chairman &amp; Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery","Memphis, Tenn.",,25,"359,000","$65,450.0",8.5%,"$4,572.0",52.6%,"$52,330.0",-,"$19,416.0",-,7.0%,8.7%,23.5%,16.79,51.7%,27.9%,16.6%,-34.7%,3.1%,10.4%,245,44065,Industrials,12,60.0,0.83,7.0,255983,0.25
39,47,pepsico,"$64,661.0",1.8%,"$12,515.0",157.7%,"$77,648.0","$172,094.7",-3,"267,000",-3,Ramon L. Laguarta,Chairman &amp; Chief Executive Officer,"Food, Beverages &amp; Tobacco",Food Consumer Products,"Purchase, N.Y.",,65,"267,000","$64,661.0",1.8%,"$12,515.0",157.7%,"$77,648.0",-,"$14,518.0",-,19.4%,16.1%,86.2%,8.78,159.8%,15.2%,10.6%,-5.0%,9.0%,10.5%,196,148875,Consumer Staples,14,62.0,0.86,5.0,266667,0.29
40,48,archerdanielsmidland,"$64,341.0",5.8%,"$1,810.0",13.5%,"$40,833.0","$24,156.7",-1,"31,600",-1,Juan R. Luciano,"Chairman, President &amp; Chief Executive Officer","Food, Beverages &amp; Tobacco",Food Production,"Chicago, Ill.",,65,"31,600","$64,341.0",5.8%,"$1,810.0",13.5%,"$40,833.0",-,"$18,981.0",-,2.8%,4.4%,9.5%,3.19,14.3%,9.6%,1.3%,5.3%,1.5%,6.1%,154,27247,Consumer Staples,13,61.0,0.85,6.0,279167,0.15
41,49,prudentialfinancial,"$62,992.0",5.5%,"$4,074.0",-48.2%,"$815,078.0","$37,517.7",2,"50,492",2,Charles F. Lowrey,"Chairman, President &amp; Chief Executive Officer",Financials,,"Newark, N.J.",,25,"50,492","$62,992.0",5.5%,"$4,074.0",-48.2%,"$815,078.0",-,"$48,617.0",-,6.5%,0.5%,8.4%,9.5,-46.8%,-,-,-26.4%,0.6%,13.4%,75,37207,Financials,12,62.0,0.83,8.0,320000,0.33
42,52,waltdisney,"$59,434.0",7.8%,"$12,598.0",40.3%,"$98,598.0","$199,589.9",2,"201,000",2,Robert A. Iger,Chairman &amp; Chief Executive Officer,Media,Entertainment,"Burbank, Calif.",,25,"201,000","$59,434.0",7.8%,"$12,598.0",40.3%,"$98,598.0",-,"$48,773.0",-,21.2%,12.8%,25.8%,8.36,46.9%,19.9%,13.9%,3.5%,9.0%,18.7%,106,191976,Consumer Discretionary,10,60.5,0.9,10.5,301866,0.3
43,53,sysco,"$58,727.3",6.1%,"$1,430.8",25.2%,"$18,070.4","$34,278.8",-,"67,000",-,,"Chairman, President &amp; Chief Executive Officer",Wholesalers,,"Houston, Texas",,25,"67,000","$58,727.3",6.1%,"$1,430.8",25.2%,"$18,070.4",-,"$2,507.0",-,2.4%,7.9%,57.1%,2.7,29.8%,10.1%,4.1%,5.4%,14.7%,14.1%,100,23286,Consumer Staples,12,69.5,0.83,10.0,305032,0.25
44,55,humana,"$56,912.0",5.8%,"$1,683.0",-31.3%,"$25,413.0","$36,079.6",-,"41,600",-,Bruce D. Broussard,"President, Chief Executive Officer &amp; Director",Health Care,,"Louisville, Ky.",,25,"41,600","$56,912.0",5.8%,"$1,683.0",-31.3%,"$25,413.0",-,"$10,161.0",-,3.0%,6.6%,16.6%,12.16,-27.7%,9.5%,12.2%,16.2%,23.5%,23.5%,203,26477,Health Care,10,57.0,0.8,8.5,265342,0.1
45,56,facebook,"$55,838.0",37.4%,"$22,112.0",38.8%,"$97,334.0","$475,731.6",19,"35,587",19,Mark Zuckerberg,Chairman &amp; Chief Executive Officer,Technology,Internet Services and Retailing,"Menlo Park, Calif.",,7,"35,587","$55,838.0",37.4%,"$22,112.0",38.8%,"$97,334.0",-,"$84,127.0",-,39.6%,22.7%,26.3%,7.57,40.4%,66.0%,-,-25.7%,19.1%,-,24,287305,Information Technology,8,46.0,0.63,4.0,390551,0.25
46,57,caterpillar,"$54,722.0",20.4%,"$6,147.0",715.3%,"$78,509.0","$77,980.3",7,"104,000",7,D. James Umpleby III,Chairman &amp; Chief Executive Officer,Industrials,Construction and Farm Machinery,"Deerfield, Ill.",,65,"104,000","$54,722.0",20.4%,"$6,147.0",715.3%,"$78,509.0",-,"$14,039.0",-,11.2%,7.8%,43.8%,10.26,714.3%,12.3%,6.1%,-17.5%,10.3%,14.3%,142,42497,Industrials,12,60.5,0.92,4.5,285468,0.17
47,59,lockheedmartin,"$53,762.0",5.3%,"$5,046.0",152.0%,"$44,876.0","$84,887.6",-1,"105,000",-1,Marillyn A. Hewson,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Bethesda, Md.",,65,"105,000","$53,762.0",5.3%,"$5,046.0",152.0%,"$44,876.0",-,"$1,394.0",-,9.4%,11.2%,362.0%,17.59,155.3%,14.0%,8.4%,-16.2%,15.2%,15.8%,173,67552,Industrials,12,65.5,0.75,8.5,273987,0.33
48,60,pfizer,"$53,647.0",2.1%,"$11,153.0",-47.7%,"$159,422.0","$235,785.1",-4,"92,400",-4,Albert Bourla,Chief Executive Officer &amp; Director,Health Care,Pharmaceuticals,"New York, N.Y.",,65,"92,400","$53,647.0",2.1%,"$11,153.0",-47.7%,"$159,422.0",-,"$63,407.0",-,20.8%,7.0%,17.6%,1.87,-46.9%,-10.1%,4.5%,24.7%,11.2%,13.8%,68,208579,Health Care,11,62.0,0.91,6.0,328417,0.27
49,61,goldmansachsgroup,"$52,528.0",24.3%,"$10,459.0",144.0%,"$931,796.0","$70,414.9",8,"36,600",8,David M. Solomon,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,20,"36,600","$52,528.0",24.3%,"$10,459.0",144.0%,"$931,796.0",-,"$90,185.0",-,19.9%,1.1%,11.6%,25.27,180.5%,10.3%,18.9%,-33.4%,0.2%,8.5%,7,79975,Financials,13,59.0,0.69,4.0,593895,0.15
50,62,morganstanley,"$50,193.0",15.0%,"$8,748.0",43.2%,"$853,531.0","$72,110.8",4,"60,348",4,James P. Gorman,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25,"60,348","$50,193.0",15.0%,"$8,748.0",43.2%,"$853,531.0",-,"$80,246.0",-,17.4%,1.0%,10.9%,4.73,54.1%,28.3%,12.6%,-22.7%,6.7%,11.1%,47,63895,Financials,14,61.5,0.71,4.0,344167,0.21
51,63,ciscosystems,"$49,330.0",2.8%,$110.0,-98.9%,"$108,784.0","$237,665.5",-2,"74,200",-2,Charles H. Robbins,Chairman &amp; Chief Executive Officer,Technology,Network and Other Communications Equipment,"San Jose, Calif.",,24,"74,200","$49,330.0",2.8%,$110.0,-98.9%,"$108,784.0",-,"$43,204.0",-,0.2%,0.1%,0.3%,0.02,-98.9%,-59.6%,-34.2%,16.5%,17.8%,12.7%,87,146764,Information Technology,11,60.0,0.73,12.0,313987,0.27
