,Company,Market Value (M),rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Market Cap (M),Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub,HBR Ranked,GD Ranked,GD & HBR Ranked,MarketSize: < 250 million,"MarketSize: 250 ~ 1,000 million","MarketSize: 1,001 ~ 5,000 million","MarketSize: 5,001 ~ 50,000 million",MarketSize: 50 Billion +,Aerospace & Defense,Apparel,Business Services,Chemicals,Energy,Engineering & Construction,Financials,Food & Drug Stores,"Food, Beverages & Tobacco",Health Care,"Hotels, Restaurants & Leisure",Household Products,Industrials,Materials,Media,Motor Vehicles & Parts,Retailing,Technology,Telecommunications,Transportation,Wholesalers,State,Region,Midwest,Northeast,South,West,Division,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
10,chevron,234049.7,2.0,48600.0,2.0,Michael K. Wirth,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",,65.0,48600.0,166339.0,23.6,14824.0,61.2,253863.0,,154554.0,,8.9,5.8,9.6,7.74,59.6,-6.9,-4.0,-9.8,1.2,7.8,170897.0,Energy,12.0,62.0,0.92,5.5,393076.0,0.17,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
11,fordmotor,35028.0,-1.0,199000.0,-1.0,James P. Hackett,"President, Chief Executive Officer &amp; Director",Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Dearborn, Mich.",,64.0,199000.0,160338.0,2.3,3677.0,-51.6,256540.0,,35932.0,,2.3,1.4,10.2,0.92,-51.6,-12.2,,-34.3,-8.4,16.3,58775.0,Consumer Discretionary,15.0,61.0,0.8,6.0,289541.0,0.13,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Michigan,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
12,generalmotors,52291.7,-3.0,173000.0,-3.0,Mary T. Barra,Chairman &amp; Chief Executive Officer,Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Detroit, Mich.",,65.0,173000.0,147049.0,-6.5,8014.0,,227339.0,,38860.0,,5.4,3.5,20.6,5.53,,18.4,,-14.9,0.1,,54326.0,Consumer Discretionary,12.0,63.0,0.75,3.0,236822.0,0.42,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Michigan,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
13,costcowholesale,106512.6,1.0,194000.0,1.0,W. Craig Jelinek,"President, Chief Executive Officer &amp; Director",Retailing,General Merchandisers,"Issaquah, Wash.",,25.0,194000.0,141576.0,9.7,3134.0,17.0,40830.0,,12799.0,,2.2,7.7,24.5,7.09,16.6,8.9,9.4,10.6,14.2,17.5,69162.0,Consumer Staples,13.0,73.0,0.54,19.0,313784.0,0.23,Craig Jelinek,0.95,42.0,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Washington,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
14,alphabet,816824.2,7.0,98771.0,7.0,Larry Page,Chief Executive Officer &amp; Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",,14.0,98771.0,136819.0,23.4,30736.0,142.7,232792.0,,177628.0,,22.5,13.2,17.3,43.7,142.8,18.4,20.7,-0.8,13.3,21.1,498547.0,Information Technology,11.0,61.0,0.73,11.0,425216.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
15,cardinalhealth,14349.5,-2.0,50200.0,-2.0,Michael C. Kaufmann,Chairman &amp; Chief Executive Officer,Health Care,,"Dublin, Ohio",,25.0,50200.0,136809.0,5.3,256.0,-80.1,39951.0,,6059.0,,0.2,0.6,4.2,0.81,-79.9,-3.5,-13.8,-24.8,-5.6,8.4,27030.0,Health Care,12.0,62.0,0.92,6.0,250029.0,0.33,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ohio,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
16,walgreensbootsalliance,59691.7,2.0,299000.0,2.0,Stefano Pessina,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Deerfield, Ill.",,25.0,299000.0,131537.0,11.3,5024.0,23.2,68124.0,,26007.0,,3.8,7.4,19.3,5.05,33.6,14.6,8.8,-3.7,5.5,13.0,92199.0,Consumer Staples,12.0,59.5,0.75,4.0,285449.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
17,jpmorganchase,331451.5,2.0,256105.0,2.0,James Dimon,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25.0,256105.0,131412.0,15.4,32474.0,32.9,2622532.0,,256515.0,,24.7,1.2,12.7,9.0,42.6,15.7,20.7,-6.7,13.6,14.5,237600.0,Financials,11.0,62.0,0.82,10.0,352500.0,0.18,,,,23.0,Jamie Dimon,Financial Services,United States,2005.0,1.0,1.0,84.0,188.0,311.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
18,verizoncommunications,244327.9,-3.0,144500.0,-3.0,Hans E. Vestberg,Chairman &amp; Chief Executive Officer,Telecommunications,Telecommunications,"New York, N.Y.",,25.0,144500.0,130863.0,3.8,15528.0,-48.4,264829.0,,53145.0,,11.9,5.9,29.2,3.76,-48.9,-1.2,5.2,11.1,7.5,11.3,190748.0,Telecommunications Services,12.0,59.0,0.92,4.0,264000.0,0.33,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
19,kroger,19630.8,-3.0,453000.0,-3.0,W. Rodney McMullen,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Cincinnati, Ohio",,25.0,453000.0,121162.0,-1.2,3110.0,63.1,38118.0,,7886.0,,2.6,8.2,39.4,3.76,79.9,21.0,14.7,2.1,8.4,9.4,36795.0,Consumer Staples,11.0,64.0,0.82,12.0,261413.0,0.27,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
20,generalelectric,87009.3,-3.0,283000.0,-3.0,H. Lawrence Culp Jr.,Chairman &amp; Chief Executive Officer,Industrials,Industrial Machinery,"Boston, Mass.",,65.0,283000.0,120268.0,-1.6,-22355.0,,309129.0,,30981.0,,-18.6,-7.2,-72.2,-2.62,,,,-55.1,-20.4,-4.0,292359.0,Industrials,16.0,63.5,0.94,8.0,318956.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Massachusetts,Northeast,0,1,0,0,New England,0,0,0,0,1,0,0,0,0
21,fanniemae,3242.6,-1.0,7400.0,-1.0,Hugh R. Frater,Chief Executive Officer &amp; Director,Financials,Diversified Financials,"Washington, D.C.",,22.0,7400.0,120101.0,6.9,15959.0,547.9,3418318.0,,6240.0,,13.3,0.5,255.8,0.57,,,,-60.0,-18.8,3.4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,District of Columbia,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
22,phillips66,43240.7,5.0,14200.0,5.0,Greg C. Garland,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Houston, Texas",,7.0,14200.0,114217.0,24.7,5595.0,9.6,54302.0,,24653.0,,4.9,10.3,22.7,11.8,19.8,14.4,,-12.3,5.2,,47502.0,Energy,8.0,66.0,0.75,3.0,322770.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
23,valeroenergy,35426.1,7.0,10261.0,7.0,Joseph W. Gorder,"Chairman, President &amp; Chief Executive Officer",Energy,Petroleum Refining,"San Antonio, Texas",,21.0,10261.0,111407.0,26.0,3122.0,-23.2,50155.0,,21667.0,,2.8,6.2,14.4,7.29,-20.4,8.0,,-15.7,11.8,17.2,31740.0,Energy,10.0,66.5,0.9,5.5,275001.0,0.2,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
24,bankofamerica,265938.5,-1.0,204489.0,-1.0,Brian T. Moynihan,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"Charlotte, N.C.",,25.0,204489.0,110584.0,10.3,28147.0,54.4,2354507.0,,265325.0,,25.5,1.2,10.6,2.61,67.3,23.7,16.8,-14.9,11.1,6.7,174721.0,Financials,13.0,65.0,0.85,3.0,260000.0,0.31,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North Carolina,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
25,microsoft,904860.9,4.0,131000.0,4.0,Satya Nadella,Chief Executive Officer &amp; Director,Technology,Computer Software,"Redmond, Wash.",,25.0,131000.0,110360.0,22.7,16571.0,-21.8,258848.0,,82718.0,,15.0,6.4,20.0,2.13,-21.4,-3.8,1.3,20.7,25.1,20.9,420483.0,Information Technology,10.0,59.5,0.8,2.0,190758.0,0.2,Satya Nadella,0.98,6.0,9.0,Satya Nadella,Information Technology,United States,2014.0,1.0,1.0,86.0,99.0,13.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Washington,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
26,homedepot,211828.0,-4.0,413000.0,-4.0,Craig A. Menear,"Chairman, President &amp; Chief Executive Officer",Retailing,,"Atlanta, Ga.",,25.0,413000.0,108203.0,7.2,11121.0,28.9,44003.0,,-1878.0,,10.3,25.3,,9.73,33.5,20.9,21.9,-7.3,18.3,25.2,158766.0,Consumer Discretionary,11.0,56.0,0.82,4.0,290000.0,0.18,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georgia,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
27,boeing,215304.7,-1.0,153000.0,-1.0,Dennis A. Muilenburg,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Chicago, Ill.",,65.0,153000.0,101127.0,8.3,10460.0,27.6,117359.0,,339.0,,10.3,8.9,3085.5,17.85,32.9,24.5,17.1,11.6,21.8,25.6,99204.0,Industrials,12.0,63.0,0.83,5.5,301000.0,0.17,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
28,wellsfargo,219467.1,-3.0,258700.0,-3.0,Charles W. Scharf,Chief Executive Officer &amp; Director,Financials,Commercial Banks,"San Francisco, Calif.",,25.0,258700.0,101060.0,3.4,22393.0,0.9,1895883.0,,196166.0,,22.2,1.2,11.4,4.28,4.4,1.9,19.8,-21.8,3.2,7.3,276574.0,Financials,16.0,65.5,0.81,9.0,306535.0,0.44,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,West,0,0,0,1,Pacific,0,0,0,0,0,1,0,0,0
29,citi,145625.4,2.0,204000.0,2.0,Michael L. Corbat,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25.0,204000.0,97120.0,10.4,18045.0,,1917383.0,,196220.0,,18.6,0.9,9.2,6.68,,9.0,,-28.5,1.0,-1.9,158393.0,Financials,14.0,64.5,0.86,3.0,282500.0,0.21,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
30,marathonpetroleum,40258.2,10.0,60350.0,10.0,Gary R. Heminger,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",,8.0,60350.0,97102.0,43.6,2780.0,-19.0,92940.0,,35175.0,,2.9,3.0,7.9,5.28,-21.2,9.7,,-8.2,7.9,,27661.0,Energy,10.0,64.5,0.9,4.0,310000.0,0.1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
31,comcast,180948.0,1.0,184000.0,1.0,Brian L. Roberts,"Chairman, President &amp; Chief Executive Officer",Telecommunications,Telecommunications,"Philadelphia, Pa.",,24.0,184000.0,94507.0,11.8,11731.0,-48.4,251684.0,,71613.0,,12.4,4.7,16.4,2.53,-46.7,14.6,19.4,-13.2,7.4,17.0,153530.0,Consumer Discretionary,12.0,67.5,0.75,12.0,472774.0,0.08,,,,99.0,Brian Roberts,Communication,United States,2002.0,1.0,0.0,68.0,604.0,570.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Pennsylvania,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
32,anthem,73826.6,-4.0,63900.0,-4.0,Gail K. Boudreaux,"President, Chief Executive Officer &amp; Director",Health Care,,"Indianapolis, Ind.",,25.0,63900.0,92105.0,2.3,3750.0,-2.4,71571.0,,28541.0,,4.1,5.2,13.1,14.19,-1.1,11.6,11.5,18.2,25.2,21.6,36327.0,Health Care,9.0,63.0,0.89,4.0,301004.0,0.22,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Indiana,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
33,delltechnologies,42170.5,1.0,157000.0,1.0,Michael S. Dell,Chairman &amp; Chief Executive Officer,Technology,"Computers, Office Equipment","Round Rock, Texas",,25.0,157000.0,90621.0,15.2,-2310.0,,111820.0,,-5765.0,,-2.5,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Texas,South,0,0,1,0,West South Central,0,0,0,0,0,0,0,0,1
34,dupontdenemours,120201.4,12.0,98000.0,12.0,Marc Doyle,Chief Executive Officer,Chemicals,Chemicals,"Wilmington, Del.",,65.0,98000.0,85977.0,37.2,3844.0,163.3,188030.0,,94571.0,,4.5,2.0,4.1,1.65,81.3,-14.8,10.3,-23.1,7.1,17.3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Delaware,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
35,statefarminsurance,,,56788.0,,Michael L. Tipsord,"Chairman, President &amp; Chief Executive Officer",Financials,,"Bloomington, Ill.",,25.0,56788.0,81732.2,4.3,8788.4,298.3,272518.4,,100877.7,,10.8,3.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,Midwest,1,0,0,0,East North Central,1,0,0,0,0,0,0,0,0
36,johnson&johnson,372228.9,,135100.0,,Alex Gorsky,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",,65.0,135100.0,81581.0,6.7,15297.0,1076.7,152954.0,,59752.0,,18.8,10.0,25.6,5.61,1093.6,3.1,2.1,-5.2,10.0,11.3,279580.0,Health Care,12.0,64.5,0.92,4.5,284923.0,0.33,Alex Gorsky,0.92,68.0,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,New Jersey,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
37,ibm,125560.1,-4.0,381100.0,-4.0,Virginia M. Rometty,"Chairman, President &amp; Chief Executive Officer",Technology,Information Technology Services,"Armonk, N.Y.",,65.0,381100.0,79591.0,0.6,8728.0,51.7,123382.0,,16796.0,,11.0,7.1,52.0,9.52,55.0,-8.6,0.6,-22.6,-6.3,5.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,New York,Northeast,0,1,0,0,Middle Atlantic,0,0,1,0,0,0,0,0,0
38,target,41440.9,,360000.0,,Brian C. Cornell,Chairman &amp; Chief Executive Officer,Retailing,General Merchandisers,"Minneapolis, Minn.",,25.0,360000.0,75356.0,4.8,2937.0,0.1,41290.0,,11297.0,,3.9,7.1,26.0,5.51,3.4,12.4,6.8,4.7,4.3,9.6,48502.0,Consumer Discretionary,12.0,57.5,0.92,3.5,260021.0,0.25,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Minnesota,Midwest,1,0,0,0,West North Central,0,0,0,0,0,0,0,1,0
39,freddiemac,1748.7,-2.0,6621.0,-2.0,Donald H. Layton,Chief Executive Officer &amp; Director,Financials,Diversified Financials,"McLean, Va.",,22.0,6621.0,73598.0,-1.4,9235.0,64.2,2063060.0,,4477.0,,12.5,0.4,206.3,1.12,,,,-57.9,-18.2,3.8,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,South,0,0,1,0,South Atlantic,0,0,0,0,0,0,1,0,0
