,Company,revenues,rev_perc_change,profit,prof_perc_change,assets,market_value,rank_change1000,employees,rank_change500,CEO,CEO Title,Sector,Industry_x,HQ Location,Website,Years on Fortune 500 List,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2017),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2018),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Unnamed: 0_y,Market Cap,Industry_y,No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_CEO,GD_Approval,GD CEO Rank,HBR CEO Rank,HBR_CEO,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
10,chevron,"$166,339.0",23.6%,"$14,824.0",61.2%,"$253,863.0","$234,049.7",2,"48,600",2,Michael K. Wirth,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",,65,"48,600","$166,339.0",23.6%,"$14,824.0",61.2%,"$253,863.0",-,"$154,554.0",-,8.9%,5.8%,9.6%,7.74,59.6%,-6.9%,-4.0%,-9.8%,1.2%,7.8%,23.0,170897.0,Energy,12.0,62.0,0.92,5.5,393076.0,0.17,,,,,,,,,,,,,
11,fordmotor,"$160,338.0",2.3%,"$3,677.0",-51.6%,"$256,540.0","$35,028.0",-1,"199,000",-1,James P. Hackett,"President, Chief Executive Officer &amp; Director",Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Dearborn, Mich.",,64,"199,000","$160,338.0",2.3%,"$3,677.0",-51.6%,"$256,540.0",-,"$35,932.0",-,2.3%,1.4%,10.2%,0.92,-51.6%,-12.2%,-,-34.3%,-8.4%,16.3%,138.0,58775.0,Consumer Discretionary,15.0,61.0,0.8,6.0,289541.0,0.13,,,,,,,,,,,,,
12,generalmotors,"$147,049.0",-6.5%,"$8,014.0",-,"$227,339.0","$52,291.7",-3,"173,000",-3,Mary T. Barra,Chairman &amp; Chief Executive Officer,Motor Vehicles &amp; Parts,Motor Vehicles and Parts,"Detroit, Mich.",,65,"173,000","$147,049.0",-6.5%,"$8,014.0",-,"$227,339.0",-,"$38,860.0",-,5.4%,3.5%,20.6%,5.53,-,18.4%,-,-14.9%,0.1%,-,318.0,54326.0,Consumer Discretionary,12.0,63.0,0.75,3.0,236822.0,0.42,,,,,,,,,,,,,
13,costcowholesale,"$141,576.0",9.7%,"$3,134.0",17.0%,"$40,830.0","$106,512.6",1,"194,000",1,W. Craig Jelinek,"President, Chief Executive Officer &amp; Director",Retailing,General Merchandisers,"Issaquah, Wash.",,25,"194,000","$141,576.0",9.7%,"$3,134.0",17.0%,"$40,830.0",-,"$12,799.0",-,2.2%,7.7%,24.5%,7.09,16.6%,8.9%,9.4%,10.6%,14.2%,17.5%,88.0,69162.0,Consumer Staples,13.0,73.0,0.54,19.0,313784.0,0.23,Craig Jelinek,0.95,42.0,,,,,,,,,,
14,alphabet,"$136,819.0",23.4%,"$30,736.0",142.7%,"$232,792.0","$816,824.2",7,"98,771",7,Larry Page,Chief Executive Officer &amp; Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",,14,"98,771","$136,819.0",23.4%,"$30,736.0",142.7%,"$232,792.0",-,"$177,628.0",-,22.5%,13.2%,17.3%,43.7,142.8%,18.4%,20.7%,-0.8%,13.3%,21.1%,16.0,498547.0,Information Technology,11.0,61.0,0.73,11.0,425216.0,0.27,,,,,,,,,,,,,
15,cardinalhealth,"$136,809.0",5.3%,$256.0,-80.1%,"$39,951.0","$14,349.5",-2,"50,200",-2,Michael C. Kaufmann,Chairman &amp; Chief Executive Officer,Health Care,,"Dublin, Ohio",,25,"50,200","$136,809.0",5.3%,$256.0,-80.1%,"$39,951.0",-,"$6,059.0",-,0.2%,0.6%,4.2%,0.81,-79.9%,-3.5%,-13.8%,-24.8%,-5.6%,8.4%,267.0,27030.0,Health Care,12.0,62.0,0.92,6.0,250029.0,0.33,,,,,,,,,,,,,
16,walgreensbootsalliance,"$131,537.0",11.3%,"$5,024.0",23.2%,"$68,124.0","$59,691.7",2,"299,000",2,Stefano Pessina,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Deerfield, Ill.",,25,"299,000","$131,537.0",11.3%,"$5,024.0",23.2%,"$68,124.0",-,"$26,007.0",-,3.8%,7.4%,19.3%,5.05,33.6%,14.6%,8.8%,-3.7%,5.5%,13.0%,143.0,92199.0,Consumer Staples,12.0,59.5,0.75,4.0,285449.0,0.25,,,,,,,,,,,,,
17,jpmorganchase,"$131,412.0",15.4%,"$32,474.0",32.9%,"$2,622,532.0","$331,451.5",2,"256,105",2,James Dimon,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25,"256,105","$131,412.0",15.4%,"$32,474.0",32.9%,"$2,622,532.0",-,"$256,515.0",-,24.7%,1.2%,12.7%,9,42.6%,15.7%,20.7%,-6.7%,13.6%,14.5%,41.0,237600.0,Financials,11.0,62.0,0.82,10.0,352500.0,0.18,,,,23.0,Jamie Dimon,Financial Services,United States,2005.0,1.0,1.0,84.0,188.0,311.0
18,verizoncommunications,"$130,863.0",3.8%,"$15,528.0",-48.4%,"$264,829.0","$244,327.9",-3,"144,500",-3,Hans E. Vestberg,Chairman &amp; Chief Executive Officer,Telecommunications,Telecommunications,"New York, N.Y.",,25,"144,500","$130,863.0",3.8%,"$15,528.0",-48.4%,"$264,829.0",-,"$53,145.0",-,11.9%,5.9%,29.2%,3.76,-48.9%,-1.2%,5.2%,11.1%,7.5%,11.3%,208.0,190748.0,Telecommunications Services,12.0,59.0,0.92,4.0,264000.0,0.33,,,,,,,,,,,,,
19,kroger,"$121,162.0",-1.2%,"$3,110.0",63.1%,"$38,118.0","$19,630.8",-3,"453,000",-3,W. Rodney McMullen,Chairman &amp; Chief Executive Officer,Food &amp; Drug Stores,Food and Drug Stores,"Cincinnati, Ohio",,25,"453,000","$121,162.0",-1.2%,"$3,110.0",63.1%,"$38,118.0",-,"$7,886.0",-,2.6%,8.2%,39.4%,3.76,79.9%,21.0%,14.7%,2.1%,8.4%,9.4%,222.0,36795.0,Consumer Staples,11.0,64.0,0.82,12.0,261413.0,0.27,,,,,,,,,,,,,
20,generalelectric,"$120,268.0",-1.6%,"$-22,355.0",-,"$309,129.0","$87,009.3",-3,"283,000",-3,H. Lawrence Culp Jr.,Chairman &amp; Chief Executive Officer,Industrials,Industrial Machinery,"Boston, Mass.",,65,"283,000","$120,268.0",-1.6%,"$-22,355.0",-,"$309,129.0",-,"$30,981.0",-,-18.6%,-7.2%,-72.2%,-2.62,-,-,-,-55.1%,-20.4%,-4.0%,80.0,292359.0,Industrials,16.0,63.5,0.94,8.0,318956.0,0.25,,,,,,,,,,,,,
21,fanniemae,"$120,101.0",6.9%,"$15,959.0",547.9%,"$3,418,318.0","$3,242.6",-1,"7,400",-1,Hugh R. Frater,Chief Executive Officer &amp; Director,Financials,Diversified Financials,"Washington, D.C.",,22,"7,400","$120,101.0",6.9%,"$15,959.0",547.9%,"$3,418,318.0",-,"$6,240.0",-,13.3%,0.5%,255.8%,0.57,-,-,-,-60.0%,-18.8%,3.4%,,,,,,,,,,,,,,,,,,,,,,
22,phillips66,"$114,217.0",24.7%,"$5,595.0",9.6%,"$54,302.0","$43,240.7",5,"14,200",5,Greg C. Garland,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Houston, Texas",,7,"14,200","$114,217.0",24.7%,"$5,595.0",9.6%,"$54,302.0",-,"$24,653.0",-,4.9%,10.3%,22.7%,11.8,19.8%,14.4%,-,-12.3%,5.2%,-,70.0,47502.0,Energy,8.0,66.0,0.75,3.0,322770.0,0.25,,,,,,,,,,,,,
23,valeroenergy,"$111,407.0",26.0%,"$3,122.0",-23.2%,"$50,155.0","$35,426.1",7,"10,261",7,Joseph W. Gorder,"Chairman, President &amp; Chief Executive Officer",Energy,Petroleum Refining,"San Antonio, Texas",,21,"10,261","$111,407.0",26.0%,"$3,122.0",-23.2%,"$50,155.0",-,"$21,667.0",-,2.8%,6.2%,14.4%,7.29,-20.4%,8.0%,-,-15.7%,11.8%,17.2%,170.0,31740.0,Energy,10.0,66.5,0.9,5.5,275001.0,0.2,,,,,,,,,,,,,
24,bankofamerica,"$110,584.0",10.3%,"$28,147.0",54.4%,"$2,354,507.0","$265,938.5",-1,"204,489",-1,Brian T. Moynihan,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"Charlotte, N.C.",,25,"204,489","$110,584.0",10.3%,"$28,147.0",54.4%,"$2,354,507.0",-,"$265,325.0",-,25.5%,1.2%,10.6%,2.61,67.3%,23.7%,16.8%,-14.9%,11.1%,6.7%,232.0,174721.0,Financials,13.0,65.0,0.85,3.0,260000.0,0.31,,,,,,,,,,,,,
25,microsoft,"$110,360.0",22.7%,"$16,571.0",-21.8%,"$258,848.0","$904,860.9",4,"131,000",4,Satya Nadella,Chief Executive Officer &amp; Director,Technology,Computer Software,"Redmond, Wash.",,25,"131,000","$110,360.0",22.7%,"$16,571.0",-21.8%,"$258,848.0",-,"$82,718.0",-,15.0%,6.4%,20.0%,2.13,-21.4%,-3.8%,1.3%,20.7%,25.1%,20.9%,447.0,420483.0,Information Technology,10.0,59.5,0.8,2.0,190758.0,0.2,Satya Nadella,0.98,6.0,9.0,Satya Nadella,Information Technology,United States,2014.0,1.0,1.0,86.0,99.0,13.0
26,homedepot,"$108,203.0",7.2%,"$11,121.0",28.9%,"$44,003.0","$211,828.0",-4,"413,000",-4,Craig A. Menear,"Chairman, President &amp; Chief Executive Officer",Retailing,,"Atlanta, Ga.",,25,"413,000","$108,203.0",7.2%,"$11,121.0",28.9%,"$44,003.0",-,"$-1,878.0",-,10.3%,25.3%,-,9.73,33.5%,20.9%,21.9%,-7.3%,18.3%,25.2%,137.0,158766.0,Consumer Discretionary,11.0,56.0,0.82,4.0,290000.0,0.18,,,,,,,,,,,,,
27,boeing,"$101,127.0",8.3%,"$10,460.0",27.6%,"$117,359.0","$215,304.7",-1,"153,000",-1,Dennis A. Muilenburg,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Chicago, Ill.",,65,"153,000","$101,127.0",8.3%,"$10,460.0",27.6%,"$117,359.0",-,$339.0,-,10.3%,8.9%,3085.5%,17.85,32.9%,24.5%,17.1%,11.6%,21.8%,25.6%,108.0,99204.0,Industrials,12.0,63.0,0.83,5.5,301000.0,0.17,,,,,,,,,,,,,
28,wellsfargo,"$101,060.0",3.4%,"$22,393.0",0.9%,"$1,895,883.0","$219,467.1",-3,"258,700",-3,Charles W. Scharf,Chief Executive Officer &amp; Director,Financials,Commercial Banks,"San Francisco, Calif.",,25,"258,700","$101,060.0",3.4%,"$22,393.0",0.9%,"$1,895,883.0",-,"$196,166.0",-,22.2%,1.2%,11.4%,4.28,4.4%,1.9%,19.8%,-21.8%,3.2%,7.3%,98.0,276574.0,Financials,16.0,65.5,0.81,9.0,306535.0,0.44,,,,,,,,,,,,,
29,citi,"$97,120.0",10.4%,"$18,045.0",-,"$1,917,383.0","$145,625.4",2,"204,000",2,Michael L. Corbat,Chairman &amp; Chief Executive Officer,Financials,Commercial Banks,"New York, N.Y.",,25,"204,000","$97,120.0",10.4%,"$18,045.0",-,"$1,917,383.0",-,"$196,220.0",-,18.6%,0.9%,9.2%,6.68,-,9.0%,-,-28.5%,1.0%,-1.9%,149.0,158393.0,Financials,14.0,64.5,0.86,3.0,282500.0,0.21,,,,,,,,,,,,,
30,marathonpetroleum,"$97,102.0",43.6%,"$2,780.0",-19.0%,"$92,940.0","$40,258.2",10,"60,350",10,Gary R. Heminger,Chairman &amp; Chief Executive Officer,Energy,Petroleum Refining,"Findlay, Ohio",,8,"60,350","$97,102.0",43.6%,"$2,780.0",-19.0%,"$92,940.0",-,"$35,175.0",-,2.9%,3.0%,7.9%,5.28,-21.2%,9.7%,-,-8.2%,7.9%,-,93.0,27661.0,Energy,10.0,64.5,0.9,4.0,310000.0,0.1,,,,,,,,,,,,,
31,comcast,"$94,507.0",11.8%,"$11,731.0",-48.4%,"$251,684.0","$180,948.0",1,"184,000",1,Brian L. Roberts,"Chairman, President &amp; Chief Executive Officer",Telecommunications,Telecommunications,"Philadelphia, Pa.",,24,"184,000","$94,507.0",11.8%,"$11,731.0",-48.4%,"$251,684.0",-,"$71,613.0",-,12.4%,4.7%,16.4%,2.53,-46.7%,14.6%,19.4%,-13.2%,7.4%,17.0%,10.0,153530.0,Consumer Discretionary,12.0,67.5,0.75,12.0,472774.0,0.08,,,,99.0,Brian Roberts,Communication,United States,2002.0,1.0,0.0,68.0,604.0,570.0
32,anthem,"$92,105.0",2.3%,"$3,750.0",-2.4%,"$71,571.0","$73,826.6",-4,"63,900",-4,Gail K. Boudreaux,"President, Chief Executive Officer &amp; Director",Health Care,,"Indianapolis, Ind.",,25,"63,900","$92,105.0",2.3%,"$3,750.0",-2.4%,"$71,571.0",-,"$28,541.0",-,4.1%,5.2%,13.1%,14.19,-1.1%,11.6%,11.5%,18.2%,25.2%,21.6%,107.0,36327.0,Health Care,9.0,63.0,0.89,4.0,301004.0,0.22,,,,,,,,,,,,,
33,delltechnologies,"$90,621.0",15.2%,"$-2,310.0",-,"$111,820.0","$42,170.5",1,"157,000",1,Michael S. Dell,Chairman &amp; Chief Executive Officer,Technology,"Computers, Office Equipment","Round Rock, Texas",,25,"157,000","$90,621.0",15.2%,"$-2,310.0",-,"$111,820.0",-,"$-5,765.0",-,-2.5%,-2.1%,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
34,dupontdenemours,"$85,977.0",37.2%,"$3,844.0",163.3%,"$188,030.0","$120,201.4",12,"98,000",12,Marc Doyle,Chief Executive Officer,Chemicals,Chemicals,"Wilmington, Del.",,65,"98,000","$85,977.0",37.2%,"$3,844.0",163.3%,"$188,030.0",-,"$94,571.0",-,4.5%,2.0%,4.1%,1.65,81.3%,-14.8%,10.3%,-23.1%,7.1%,17.3%,,,,,,,,,,,,,,,,,,,,,,
35,statefarminsurance,"$81,732.2",4.3%,"$8,788.4",298.3%,"$272,518.4",-,-,"56,788",-,Michael L. Tipsord,"Chairman, President &amp; Chief Executive Officer",Financials,,"Bloomington, Ill.",,25,"56,788","$81,732.2",4.3%,"$8,788.4",298.3%,"$272,518.4",-,"$100,877.7",-,10.8%,3.2%,8.7%,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
36,johnson&johnson,"$81,581.0",6.7%,"$15,297.0",1076.7%,"$152,954.0","$372,228.9",-,"135,100",-,Alex Gorsky,Chairman &amp; Chief Executive Officer,Health Care,Pharmaceuticals,"New Brunswick, N.J.",,65,"135,100","$81,581.0",6.7%,"$15,297.0",1076.7%,"$152,954.0",-,"$59,752.0",-,18.8%,10.0%,25.6%,5.61,1093.6%,3.1%,2.1%,-5.2%,10.0%,11.3%,147.0,279580.0,Health Care,12.0,64.5,0.92,4.5,284923.0,0.33,Alex Gorsky,0.92,68.0,,,,,,,,,,
37,ibm,"$79,591.0",0.6%,"$8,728.0",51.7%,"$123,382.0","$125,560.1",-4,"381,100",-4,Virginia M. Rometty,"Chairman, President &amp; Chief Executive Officer",Technology,Information Technology Services,"Armonk, N.Y.",,65,"381,100","$79,591.0",0.6%,"$8,728.0",51.7%,"$123,382.0",-,"$16,796.0",-,11.0%,7.1%,52.0%,9.52,55.0%,-8.6%,0.6%,-22.6%,-6.3%,5.8%,,,,,,,,,,,,,,,,,,,,,,
38,target,"$75,356.0",4.8%,"$2,937.0",0.1%,"$41,290.0","$41,440.9",-,"360,000",-,Brian C. Cornell,Chairman &amp; Chief Executive Officer,Retailing,General Merchandisers,"Minneapolis, Minn.",,25,"360,000","$75,356.0",4.8%,"$2,937.0",0.1%,"$41,290.0",-,"$11,297.0",-,3.9%,7.1%,26.0%,5.51,3.4%,12.4%,6.8%,4.7%,4.3%,9.6%,228.0,48502.0,Consumer Discretionary,12.0,57.5,0.92,3.5,260021.0,0.25,,,,,,,,,,,,,
39,freddiemac,"$73,598.0",-1.4%,"$9,235.0",64.2%,"$2,063,060.0","$1,748.7",-2,"6,621",-2,Donald H. Layton,Chief Executive Officer &amp; Director,Financials,Diversified Financials,"McLean, Va.",,22,"6,621","$73,598.0",-1.4%,"$9,235.0",64.2%,"$2,063,060.0",-,"$4,477.0",-,12.5%,0.4%,206.3%,1.12,-,-,-,-57.9%,-18.2%,3.8%,,,,,,,,,,,,,,,,,,,,,,
40,unitedparcelservice,"$71,861.0",9.1%,"$4,791.0",-2.4%,"$50,016.0","$96,116.3",3,"364,575",3,David P. Abney,Chairman &amp; Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery","Atlanta, Ga.",,25,"364,575","$71,861.0",9.1%,"$4,791.0",-2.4%,"$50,016.0",-,"$3,021.0",-,6.7%,9.6%,158.6%,5.51,-1.8%,3.6%,6.5%,-15.5%,1.4%,9.1%,233.0,92325.0,Industrials,12.0,61.0,0.83,5.5,259968.0,0.25,,,,,,,,,,,,,
41,lowe's,"$71,309.0",3.9%,"$2,314.0",-32.9%,"$34,508.0","$87,685.5",-2,"245,000",-2,Marvin R. Ellison,"President, Chief Executive Officer &amp; Director",Retailing,,"Mooresville, N.C.",,25,"245,000","$71,309.0",3.9%,"$2,314.0",-32.9%,"$34,508.0",-,"$3,644.0",-,3.2%,6.7%,63.5%,2.84,-30.6%,5.8%,6.7%,1.2%,15.2%,17.8%,,,,,,,,,,,,,,,,,,,,,,
42,intel,"$70,848.0",12.9%,"$21,053.0",119.3%,"$127,963.0","$241,488.9",3,"107,400",3,Robert H. Swan,Chief Executive Officer &amp; Director,Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",,41,"107,400","$70,848.0",12.9%,"$21,053.0",119.3%,"$127,963.0",-,"$74,563.0",-,29.7%,16.5%,28.2%,4.48,125.1%,18.8%,17.2%,4.1%,15.8%,16.0%,89.0,159785.0,Information Technology,11.0,60.0,0.82,9.0,312300.0,0.18,,,,,,,,,,,,,
43,metlife,"$67,941.0",2.7%,"$5,123.0",27.8%,"$687,538.0","$40,751.0",-1,"48,000",-1,Michel A. Khalaf,Chief Executive Officer &amp; Director,Financials,,"New York, N.Y.",,25,"48,000","$67,941.0",2.7%,"$5,123.0",27.8%,"$687,538.0",-,"$52,741.0",-,7.5%,0.7%,9.7%,4.91,35.6%,11.0%,1.7%,-15.7%,-0.1%,5.5%,197.0,56003.0,Financials,12.0,61.5,0.92,6.0,266629.0,0.33,,,,,,,,,,,,,
44,procter&gamble,"$66,832.0",0.9%,"$9,750.0",-36.4%,"$118,310.0","$260,289.4",-3,"92,000",-3,David S. Taylor,"Chairman, President &amp; Chief Executive Officer",Household Products,Household and Personal Products,"Cincinnati, Ohio",,65,"92,000","$66,832.0",0.9%,"$9,750.0",-36.4%,"$118,310.0",-,"$52,293.0",-,14.6%,8.2%,18.6%,3.67,-34.3%,-1.0%,0.1%,3.5%,5.8%,7.4%,145.0,207797.0,Consumer Staples,12.0,63.0,0.83,5.5,285000.0,0.33,,,,,,,,,,,,,
45,unitedtechnologies,"$66,501.0",11.1%,"$5,269.0",15.8%,"$134,211.0","$111,146.0",5,"240,200",5,Gregory J. Hayes,"Chairman, President &amp; Chief Executive Officer",Aerospace &amp; Defense,Aerospace and Defense,"Farmington, Conn.",,65,"240,200","$66,501.0",11.1%,"$5,269.0",15.8%,"$134,211.0",-,"$38,446.0",-,7.9%,3.9%,13.7%,6.5,14.0%,0.8%,2.9%,-14.7%,1.0%,9.7%,123.0,87291.0,Industrials,11.0,67.0,0.91,10.0,295000.0,0.18,,,,,,,,,,,,,
46,fedex,"$65,450.0",8.5%,"$4,572.0",52.6%,"$52,330.0","$47,270.8",3,"359,000",3,Frederick W. Smith,Chairman &amp; Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery","Memphis, Tenn.",,25,"359,000","$65,450.0",8.5%,"$4,572.0",52.6%,"$52,330.0",-,"$19,416.0",-,7.0%,8.7%,23.5%,16.79,51.7%,27.9%,16.6%,-34.7%,3.1%,10.4%,245.0,44065.0,Industrials,12.0,60.0,0.83,7.0,255983.0,0.25,,,,53.0,Frederick Smith,Transportation,United States,1971.0,1.0,0.0,58.0,319.0,549.0
47,pepsico,"$64,661.0",1.8%,"$12,515.0",157.7%,"$77,648.0","$172,094.7",-3,"267,000",-3,Ramon L. Laguarta,Chairman &amp; Chief Executive Officer,"Food, Beverages &amp; Tobacco",Food Consumer Products,"Purchase, N.Y.",,65,"267,000","$64,661.0",1.8%,"$12,515.0",157.7%,"$77,648.0",-,"$14,518.0",-,19.4%,16.1%,86.2%,8.78,159.8%,15.2%,10.6%,-5.0%,9.0%,10.5%,196.0,148875.0,Consumer Staples,14.0,62.0,0.86,5.0,266667.0,0.29,,,,,,,,,,,,,
